District wise,Neighbor json
aizawl,aizwal
amroha,jyotiba phule nagar
angul,anugul
ashoknagar,ashok nagar
ayodhya,faizabad
balasore,baleshwar
ballari,bellary
bametara,bemetara
banaskantha,banas kantha
baramulla,baramula
beed,bid
belagavi,belgaum
bengaluru rural,bangalore rural
bengaluru urban,bangalore urban
bhadohi,sant ravidas nagar
biswanath,bishwanath
boudh,baudh
budgam,badgam
chamarajanagara,chamarajanagar
cooch behar,kochbihar
dakshin bastar dantewada,dantewada
dang,the dangs
deogarh,debagarh
devbhumi dwarka,devbhumi dwaraka
dholpur,dhaulpur
east champaran,purba champaran
east singhbhum,purbi singhbhum
fatehgarh sahib,fategarh sahib
ferozepur,firozpur
ganganagar,sri ganganagar
gondia,gondiya
hooghly,hugli
jagatsinghpur,jagatsinghapur
jajpur,jajapur
jalore,jalor
jhunjhunu,jhunjhunun
kabeerdham,kabirdham
kaimur,kaimur (bhabua)
kancheepuram,kanchipuram
karbi anglong,east karbi anglong
koderma,kodarma
komaram bheem,komram bheem
lahaul and spiti,lahul and spiti
lakhimpur kheri,kheri
maharajganj,mahrajganj
malda,maldah
mehsana,mahesana
morigaon,marigaon
mumbai,mumbai city
nandurbar,nandubar
narsinghpur,narsimhapur
navsari,nav sari
nilgiris,the nilgiris
pakur,pakaur
palakkad,palghat
panchmahal,panch mahal
pathanamthitta,pattanamtitta
purulia,puruliya
rae bareli,rae bareilly
rajouri,rajauri
ranga reddy,rangareddy
ribhoi,ri-bhoi
s.a.s. nagar,sahibzada ajit singh nagar
s.p.s. nellore,sri potti sriramulu nellore
sabarkantha,sabar kantha
sant kabir nagar,sait kibir nagar
saraikela-kharsawan,seraikela kharsawan
shahid bhagat singh nagar,shaheed bhagat singh nagar
shivamogga,shimoga
shopiyan,shopian
shrawasti,sharawasti
siddharthnagar,siddharth nagar
sipahijala,sepahijala
sivaganga,sivagangai
south salmara mankachar,south salmara-mankachar
sri muktsar sahib,muktsar
subarnapur,sonapur
thoothukkudi,thoothukudi
tiruchirappalli,tiruchchirappalli
tirunelveli,tirunelveli kattabo
tiruvannamalai,tiruvanamalai
tumakuru,tumkur
west champaran,pashchim champaran
west singhbhum,pashchimi singhbhum
y.s.r. kadapa,ysr
yadgir,yadagiri
