state/ut,age-group-males,ratio-males,age-group-females,ratio-females
ANDAMAN & NICOBAR ISLANDS,30-49,0.3935621086842231,30-49,0.34382088004665934
ANDHRA PRADESH,30-49,0.32489699930820237,30-49,0.2554248534884852
ARUNACHAL PRADESH,30-49,0.3140248282389528,30-49,0.24346702586799351
ASSAM,30-49,0.3761263473969261,30-49,0.32359501459611584
BIHAR,30-49,0.288044920877999,30-49,0.2376941034739496
CHANDIGARH,30-49,0.2976528503503083,30-49,0.31208601190891216
CHHATTISGARH,30-49,0.35511727513767083,30-49,0.32853302070240503
DADRA & NAGAR HAVELI,30-49,0.3304862617498192,30-49,0.2556493030080704
DAMAN & DIU,30-49,0.3737646412884334,30-49,0.3117840891260003
GOA,30-49,0.3763337228891891,30-49,0.3799645589965513
GUJARAT,30-49,0.3205863745164788,30-49,0.3000989287196889
HARYANA,30-49,0.2968404117270576,30-49,0.28219061067594714
HIMACHAL PRADESH,30-49,0.332859465876555,30-49,0.3137839899732985
INDIA,30-49,0.33291507073494436,30-49,0.30001653663821026
JAMMU & KASHMIR,30-49,0.30797072665393455,30-49,0.2627993561514286
JHARKHAND,30-49,0.3251345811420763,30-49,0.2791498359855776
KARNATAKA,30-49,0.35697766920146623,30-49,0.31812803611432905
KERALA,30-49,0.3410026314013899,30-49,0.34235019480930134
LAKSHADWEEP,30-49,0.40450660450660453,30-49,0.31105470953186687
MADHYA PRADESH,30-49,0.3155026182844631,30-49,0.2775702598719947
MAHARASHTRA,30-49,0.33390522857274046,30-49,0.30332178815227645
MANIPUR,30-49,0.36336229280410953,30-49,0.33476223553476375
MEGHALAYA,30-49,0.36509713901797214,30-49,0.3098561944965056
MIZORAM,30-49,0.40199919340899926,30-49,0.34171597633136097
NAGALAND,30-49,0.3221991369665974,30-49,0.27278593950313573
NCT OF DELHI,30-49,0.34292048824498017,30-49,0.3489817096899728
ODISHA,30-49,0.3600235293347158,30-49,0.3011901293911961
PUDUCHERRY,30-49,0.37327550295278,30-49,0.3611939331086337
PUNJAB,30-49,0.29795149960958894,30-49,0.2950440385459155
RAJASTHAN,30-49,0.2900292762451738,15-19,0.2406508220461709
SIKKIM,30-49,0.3250324358574633,30-49,0.2628240317169869
TAMIL NADU,30-49,0.3627647866389825,30-49,0.3321732237449263
TRIPURA,30-49,0.38123630394214164,30-49,0.31556586110551027
UTTAR PRADESH,30-49,0.285153197202573,15-19,0.23356962888152263
UTTARAKHAND,30-49,0.30666764053355733,30-49,0.27363876719502384
WEST BENGAL,30-49,0.36009344149148714,30-49,0.34407181789034946
