state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,49.55464309832357,47.37212312194024,5.4804501237470596e-05
ANDHRA PRADESH,19.691770533940485,16.33025999349623,5.4804501237470596e-05
ARUNACHAL PRADESH,33.86229675366152,33.68795861543859,5.4804501237470596e-05
ASSAM,33.52135328693732,31.21273082056864,5.4804501237470596e-05
BIHAR,15.503510924293174,13.376193854455208,5.4804501237470596e-05
CHANDIGARH,24.85796408588114,23.926518628353346,5.4804501237470596e-05
CHHATTISGARH,12.276816727636282,10.904263373835567,5.4804501237470596e-05
DADRA & NAGAR HAVELI,35.58784062758051,39.02126723085849,5.4804501237470596e-05
DAMAN & DIU,32.870040784825115,35.09887461536806,5.4804501237470596e-05
GOA,25.984522553237547,26.80562409213169,5.4804501237470596e-05
GUJARAT,31.368957609190613,25.712238921956118,5.4804501237470596e-05
HARYANA,19.09201767148578,15.859122348087938,5.4804501237470596e-05
HIMACHAL PRADESH,13.885859708266212,12.177475641708218,5.4804501237470596e-05
India,20.241548410288495,17.49869179290212,5.4804501237470596e-05
JAMMU & KASHMIR,35.78051405115936,28.995278478266766,5.4804501237470596e-05
JHARKHAND,26.628293685025945,24.28366517271119,5.4804501237470596e-05
KARNATAKA,27.493410089439102,26.243053121548137,5.4804501237470596e-05
KERALA,15.966788649346507,13.899302529212713,5.4804501237470596e-05
LAKSHADWEEP,14.802403163964616,11.703349282296651,5.4804501237470596e-05
MADHYA PRADESH,12.539962319779065,10.950205404886084,5.4804501237470596e-05
MAHARASHTRA,35.33379326799061,31.618782981971773,5.4804501237470596e-05
MANIPUR,28.08605116412922,25.949613606471317,5.4804501237470596e-05
MEGHALAYA,18.791056901849537,18.104927470599442,5.4804501237470596e-05
MIZORAM,25.110788185234604,21.644979303039307,5.4804501237470596e-05
NAGALAND,34.67587437259003,35.32368195099245,5.4804501237470596e-05
NCT OF DELHI,33.94719408197722,30.86982244348683,5.4804501237470596e-05
ODISHA,21.244381046774357,18.27060985502321,5.4804501237470596e-05
PUDUCHERRY,28.207330154070704,23.267898565093272,5.4804501237470596e-05
PUNJAB,19.8118032318804,17.58998274784867,5.4804501237470596e-05
RAJASTHAN,10.540008202864184,8.241115068320452,5.4804501237470596e-05
SIKKIM,35.25954127588448,32.58494575784242,5.4804501237470596e-05
TAMIL NADU,26.539198723780178,23.26741981982032,5.4804501237470596e-05
TRIPURA,31.176028715689913,26.98843760714538,5.4804501237470596e-05
UTTAR PRADESH,11.258478734454876,8.942479034101423,5.4804501237470596e-05
UTTARAKHAND,16.99633284693582,14.07897999381229,5.4804501237470596e-05
WEST BENGAL,14.939389789067823,11.585782275646205,5.4804501237470596e-05
