state/ut,urban-percentage,rural-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,48.96088871543265,48.27810184189327,0.08991980529245953
ANDHRA PRADESH,23.877600523759195,15.082795051150159,0.1410917303784433
ARUNACHAL PRADESH,31.901036333101217,34.336498624289405,0.024505621657209396
ASSAM,29.455419545840417,32.87377857617519,0.1268675112666043
BIHAR,20.51053511068534,13.718197971276947,0.03767373973309515
CHANDIGARH,24.411203954566133,25.421682591148976,1.2043098636171558e-07
CHHATTISGARH,17.925610852320702,9.676518634446488,0.09322485552730399
DADRA & NAGAR HAVELI,35.36411469846508,38.59562895245585,0.19471103247327232
DAMAN & DIU,33.38073075892393,34.75395721570965,2.9496652558107835e-06
GOA,25.787206637744895,27.379465717895133,0.00098168571376046
GUJARAT,34.5880337616313,24.26040310758366,0.2142164724751202
HARYANA,25.584580953196316,13.292914643142717,0.053738348576976847
HIMACHAL PRADESH,28.279345641287804,11.345455428631569,0.03509237562056987
India,26.974288471183012,15.263288902255663,0.10992004170591564
JAMMU & KASHMIR,34.32487427335445,31.933408431652843,0.05000580958430287
JHARKHAND,29.642177212553893,24.17134845306577,0.052503069139454676
KARNATAKA,32.70216044536091,23.20368109015012,0.26435567153923983
KERALA,15.823393218142337,14.041033968314022,0.17098075985544767
LAKSHADWEEP,14.050703329889533,10.607453503995474,2.775597679278399e-05
MADHYA PRADESH,18.855127992085464,9.069353958197784,0.07035837567946408
MAHARASHTRA,38.1544731786266,29.738239966376025,0.32769081565728514
MANIPUR,22.77840782397495,28.77836805761659,0.04537530016331179
MEGHALAYA,33.08321437568226,14.775627793925967,0.1452462460849492
MIZORAM,26.5219817024648,20.000951592490033,0.408231063240507
NAGALAND,33.78204656669574,35.47745848063566,0.12292464938661084
NCT OF DELHI,32.78010329222509,22.250514268259508,3.198998314055434e-05
ODISHA,23.265248892863955,19.07412297234457,0.12803519464644791
PUDUCHERRY,28.692364612027163,19.218623481781375,0.7168446989671537
PUNJAB,22.62686762932264,16.445332247244494,0.06368183789461497
RAJASTHAN,16.593746453047366,7.063095413406106,0.03306273048623365
SIKKIM,33.56144760317233,34.1475583097556,0.05925533408300897
TAMIL NADU,29.92017456033432,20.203682071169734,0.28324005354273807
TRIPURA,19.008313458900226,32.71077514761486,0.11580454580965542
UTTAR PRADESH,23.908036718590555,6.213120088287924,0.06654337511434928
UTTARAKHAND,26.40946985870376,10.865780847792951,0.09439418665516687
WEST BENGAL,20.07469356376492,10.138623970144435,0.217201642035013
